1	1.17094e-15
2	-1.08247e-15
3	1.17094e-15
4	-1.08247e-15
5	-0.125
6	-0.25
7	-0.375
8	-0.5
9	-0.625
10	-0.75
11	-0.875
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-0.875
34	-0.75
35	-0.625
36	-0.5
37	-0.375
38	-0.25
39	-0.125
40	1.19349e-15
41	-1.30104e-15
42	1.16573e-15
43	-1.14925e-15
44	1.15186e-15
45	-1.14925e-15
46	1.13798e-15
47	-1.14925e-15
48	1.13798e-15
49	-1.0842e-15
50	1.11022e-15
51	-1.0842e-15
52	1.06859e-15
53	-1.04083e-15
54	1.01308e-15
55	-9.97466e-16
56	9.85323e-16
57	-9.54098e-16
58	9.29812e-16
59	-9.1073e-16
60	8.88178e-16
61	-8.67362e-16
62	8.46545e-16
63	-8.23994e-16
64	7.91034e-16
65	-7.80626e-16
66	7.63278e-16
67	-7.37257e-16
68	7.07767e-16
69	-6.93889e-16
70	6.80012e-16
71	-6.50521e-16
72	6.245e-16
73	-6.07153e-16
74	5.96745e-16
75	-5.63785e-16
76	5.41234e-16
77	-5.20417e-16
78	4.996e-16
79	-4.77049e-16
80	4.57967e-16
81	-4.33681e-16
82	4.02456e-16
83	-3.90313e-16
84	3.747e-16
85	-3.46945e-16
86	3.19189e-16
87	-3.03577e-16
88	2.91434e-16
89	-2.60209e-16
90	2.35922e-16
91	-2.1684e-16
92	1.94289e-16
93	-1.73472e-16
94	1.52656e-16
95	-1.30104e-16
96	9.71445e-17
97	-8.67362e-17
98	6.93889e-17
99	-4.33681e-17
100	1.38778e-17
101	0
